"MLS_NUM","ADDR_LAT","ADDR_LON"
"71065184","42.6259","-71.0958"
"71065195","42.6088","-71.085"
"71065921","42.6535","-71.1696"
"71066408","42.6412","-71.1126"
"71066673","42.685","-71.2168"
"71068431","42.6687","-71.1314"
"71069469","42.63","-71.1665"
"71069473","42.6403","-71.1331"
"71069784","42.6761","-71.1596"
"71069831","42.6672","-71.1306"
"71069959","42.6338","-71.1414"
"71071284","42.6861","-71.1969"
"71072228","42.6681","-71.1702"
"71072760","42.62","-71.1312"
"71073461","42.6431","-71.2143"
"71073527","42.6265","-71.1474"
"71073532","42.6401","-71.1976"
"71073658","42.6535","-71.1784"
"71073686","42.6643","-71.1354"
"71076225","42.6618","-71.1383"
"71076384","42.6421","-71.1562"
"71076491","42.6513","-71.2348"
"71078080","42.6446","-71.1471"
"71078338","42.6287","-71.1071"
"71078684","42.6432","-71.2109"
"71079326","42.6581","-71.1249"
"71080412","42.6308","-71.1871"
"71080750","42.6541","-71.1761"
"71080789","42.672","-71.2177"
"71081033","42.6652","-71.1545"
"71081156","42.6277","-71.1217"
"71081450","42.6361","-71.1982"
"71082657","42.6456","-71.1759"
"71083521","42.6744","-71.1427"
"71083552","42.674","-71.1347"
"71084280","42.6592","-71.2239"
"71084387","42.6632","-71.1395"
"71084513","42.6657","-71.2188"
"71084550","42.6617","-71.1493"
"71084713","42.6377","-71.1745"
"71085354","42.6659","-71.223"
"71085997","42.638","-71.1958"
"71086129","42.6667","-71.1321"
"71086830","42.6013","-71.1215"
"71086853","42.6737","-71.1413"
"71086934","42.6631","-71.1335"
"71087207","42.6498","-71.1654"
"71088573","42.6647","-71.1396"
"71089354","42.6614","-71.2138"
"71089468","42.6242","-71.1399"
"71090099","42.6393","-71.1645"
"71090475","42.6305","-71.1622"
"71090574","42.6338","-71.19"
"71091222","42.6111","-71.1454"
"71091334","42.6606","-71.2153"
"71091833","42.6183","-71.1246"
"71092542","42.6567","-71.1572"
"71092686","42.6655","-71.1786"
"71093557","42.6301","-71.1261"
"71093850","42.6618","-71.2111"
"71094250","42.6454","-71.15"
"71094431","42.6706","-71.1513"
"71094508","42.6349","-71.1143"
"71094542","42.6532","-71.1762"
"71095793","42.6735","-71.1534"
"71095944","42.6345","-71.1654"
"71097113","42.6655","-71.1624"
"71097128","42.6121","-71.1412"
"71097529","42.6702","-71.1421"
"71097539","42.6561","-71.1442"
"71097838","42.6246","-71.1212"
"71097842","42.635","-71.1659"
"71097848","42.6478","-71.2141"
"71098685","42.6754","-71.159"
"71098728","42.6611","-71.1497"
"71099067","42.6747","-71.1582"
"71100288","42.6871","-71.1951"
"71100389","42.6376","-71.1775"
"71101396","42.646","-71.1698"
"71101493","42.676","-71.2253"
"71103841","42.6554","-71.1492"
"71105557","42.6282","-71.1586"
"71106866","42.6447","-71.1463"
"71106954","42.673","-71.1476"
"71107268","42.6605","-71.1209"
"71107956","42.6693","-71.1348"
"71108719","42.622","-71.1442"
"71109276","42.6264","-71.1022"
"71109855","42.6404","-71.1398"
"71109993","42.6218","-71.1574"
"71110253","42.6251","-71.1183"
"71110327","42.6276","-71.1522"
"71110333","42.6352","-71.1913"
"71110554","42.6294","-71.1621"
"71110869","42.6613","-71.1422"
"71111448","42.6186","-71.1202"
"71111469","42.662","-71.1286"
"71111678","42.6584","-71.137"
"71112197","42.6413","-71.1497"
"71112526","42.6533","-71.2349"
"71112734","42.6589","-71.1379"
"71112817","42.6639","-71.1583"
"71113076","42.6378","-71.1623"
"71113114","42.647","-71.1722"
"71113328","42.6268","-71.1449"
"71113499","42.6404","-71.2015"
"71114094","42.6811","-71.153"
"71114394","42.6285","-71.163"
"71115352","42.6786","-71.1592"
"71116557","42.6349","-71.1679"
"71116799","42.663","-71.1533"
"71117614","42.602","-71.1172"
"71118109","42.687","-71.1956"
"71118408","42.6641","-71.1828"
"71118778","42.6652","-71.146"
"71119155","42.6592","-71.1223"
"71119521","42.6615","-71.1396"
"71120227","42.6912","-71.1989"
"71121301","42.6419","-71.1921"
"71122380","42.644","-71.156"
"71122548","42.6564","-71.1196"
"71122774","42.6474","-71.1622"
"71122790","42.6015","-71.1205"
"71123097","42.6701","-71.1379"
"71123168","42.629","-71.1771"
"71123244","42.6701","-71.2329"
"71124790","42.629","-71.1582"
"71125073","42.6369","-71.1401"
"71125200","42.6595","-71.1197"
"71126115","42.6599","-71.1649"
"71126188","42.6031","-71.1159"
"71128600","42.6617","-71.1269"
"71130717","42.6631","-71.1407"
"71133561","42.6259","-71.0953"
"71133719","42.6481","-71.1716"
"71134810","42.6664","-71.1636"
"71134917","42.6271","-71.1241"
"71135313","42.6299","-71.169"
"71135353","42.6757","-71.2233"
"71138042","42.602","-71.1172"
"71139240","42.6152","-71.1391"
"71139850","42.6735","-71.1529"
"71141594","42.6709","-71.1462"
"71141610","42.6235","-71.1469"
"71141794","42.6565","-71.1298"
"71142454","42.6762","-71.1619"
"71143490","42.6867","-71.1889"
"71144483","42.6752","-71.1501"
"71147524","42.6722","-71.146"
"71148686","42.6314","-71.1669"
"71149337","42.665","-71.1791"
"71150839","42.6454","-71.12"
"71151044","42.6693","-71.219"
"71154017","42.654","-71.1639"
"71154194","42.6651","-71.1461"
"71154416","42.6469","-71.1691"
"71154504","42.6373","-71.2096"
"71156225","42.6616","-71.1315"
"71156344","42.673","-71.1841"
"71156394","42.6767","-71.1531"
"71156508","42.656","-71.1176"
"71156893","42.6652","-71.146"
"71158846","42.6816","-71.219"
"71159148","42.6412","-71.2167"
"71069782","42.6533","-71.2263"
"71070414","42.6107","-71.1227"
"71072241","42.6385","-71.2141"
"71078109","42.651","-71.1646"
"71079228","42.652","-71.1396"
"71083734","42.6387","-71.1947"
"71084653","42.6642","-71.1852"
"71090899","42.6539","-71.1163"
"71093587","42.6339","-71.135"
"71097291","42.6127","-71.1456"
"71099866","42.6374","-71.1217"
"71101397","42.6593","-71.1392"
"71101575","42.6652","-71.146"
"71109431","42.6773","-71.1567"
"71113070","42.6362","-71.1158"
"71115850","42.6642","-71.1596"
"71119245","42.6816","-71.1932"
"71120306","42.6538","-71.1387"
"71122413","42.6601","-71.1521"
"71122929","42.6686","-71.1728"
"71124733","42.6224","-71.1608"
"71126593","42.6617","-71.1481"
"71126833","42.6536","-71.2233"
"71128194","42.639","-71.2043"
"71128796","42.6758","-71.1535"
"71131283","42.6719","-71.1484"
"71132937","42.6305","-71.1622"
"71135052","42.6571","-71.1317"
"71139838","42.618","-71.1512"
"71140076","42.6656","-71.1414"
"71140322","42.6866","-71.1966"
"71141834","42.6732","-71.159"
"71142772","42.6246","-71.098"
"71144378","42.6574","-71.1317"
"71145145","42.6744","-71.1346"
"71145198","42.6631","-71.146"
"71146146","42.6344","-71.1424"
"71147448","42.6686","-71.1754"
"71148839","42.6592","-71.136"
"71150718","42.6437","-71.1591"
"71150981","42.6629","-71.1714"
"71151137","42.6562","-71.1345"
"71151456","42.6026","-71.116"
"71152075","42.6415","-71.198"
"71153323","42.625","-71.1748"
"71154023","42.6642","-71.1338"
"71154032","42.6529","-71.1162"
